wl,n
12.171150,1.555911
12.199780,1.549581
12.214160,1.547148
12.228560,1.543411
12.257470,1.535676

wl,k
1.999965,0.000000
2.019832,0.000000
2.039697,0.000000
2.059956,0.000000
2.079787,0.000000
2.099578,0.000000
2.119750,0.000000
2.139871,0.000000
2.159928,0.000000
2.179907,0.000000
2.199792,0.000000
2.219567,0.000000
2.239701,0.000000
2.259712,0.000000
2.279582,0.000000
2.299804,0.000000
2.319870,0.000000
2.339760,0.000000
2.359995,0.000000
2.379490,0.000000
2.399865,0.000000
2.419463,0.000000
2.439957,0.000000
2.459634,0.000000
2.479631,0.000000
2.499956,0.000000
2.519392,0.000000
2.539754,0.000000
2.559817,0.000000
2.579557,0.000000
2.599603,0.000000
2.619964,0.000000
2.639973,0.000000
2.659609,0.000000
2.679539,0.000000
2.699770,0.000000
2.719595,0.000000
2.739714,0.000000
2.759398,0.000000
2.779367,0.000000
2.799627,0.000000
2.819417,0.000000
2.839490,0.000000
2.859850,0.000000
2.879705,0.000000
2.899837,0.000234
2.919430,0.000172
2.939290,0.000000
2.959423,0.000000
2.979833,0.000000
2.999657,0.000266
3.019749,0.000691
3.039220,0.000124
3.059845,0.000813
3.079839,0.002114
3.099168,0.002600
3.119680,0.001769
3.139514,0.002257
3.159603,0.002718
3.179950,0.002522
3.199573,0.003040
3.219440,0.004019
3.239556,0.004307
3.259923,0.003797
3.279512,0.003985
3.299337,0.005385
3.319404,0.006820
3.339716,0.009258
3.359189,0.018289
3.379993,0.042343
3.399940,0.099345
3.418996,0.173690
3.439408,0.162501
3.458911,0.084600
3.479804,0.071419
3.499770,0.093967
3.519965,0.074763
3.539187,0.030669
3.559841,0.011794
3.579502,0.009169
3.599382,0.008555
3.619482,0.007726
3.639810,0.006950
3.659074,0.007093
3.679850,0.008287
3.699542,0.008811
3.719447,0.008942
3.739566,0.008914
3.759905,0.008646
3.779088,0.008772
3.799860,0.008376
3.819453,0.007734
3.839251,0.007571
3.859255,0.006941
3.879468,0.007044
3.899893,0.007843
3.919054,0.007760
3.939901,0.007522
3.959457,0.008179
3.979208,0.008990
3.999159,0.008206
4.019309,0.007324
4.039663,0.007346
4.058638,0.007458
4.079393,0.007382
4.098742,0.007358
4.119911,0.007324
4.139647,0.006631
4.159573,0.006243
4.179692,0.007477
4.198306,0.009736
4.218802,0.010157
4.239500,0.009980
4.258652,0.009853
4.279743,0.009772
4.299261,0.009674
4.318957,0.009597
4.338835,0.009143
4.358898,0.008585
4.379145,0.007932
4.399582,0.007073
4.418329,0.007560
4.439133,0.008703
4.458219,0.008656
4.479404,0.008590
4.498836,0.007983
4.518438,0.007251
4.538214,0.007788
4.558161,0.008869
4.578285,0.009365
4.598589,0.008771
4.619072,0.008010
4.639740,0.008893
4.658497,0.008565
4.679521,0.007181
4.698603,0.006580
4.719989,0.006953
4.739404,0.007723
4.758979,0.007198
4.778717,0.006102
4.798619,0.004366
4.818687,0.004231
4.838927,0.005843
4.859332,0.007617
4.879913,0.007458
4.898354,0.007283
4.919267,0.008549
4.938008,0.008990
4.959262,0.008927
4.978310,0.007792
4.999913,0.006372
5.019271,0.007810
5.038784,0.008269
5.058448,0.008159
5.078264,0.007984
5.098238,0.006901
5.118370,0.006321
5.138662,0.007058
5.159112,0.006971
5.179729,0.007144
5.197902,0.006696
5.218831,0.006009
5.239928,0.005964
5.258528,0.006391
5.279948,0.007387
5.298833,0.007763
5.317853,0.007039
5.339761,0.006941
5.359080,0.006566
5.378536,0.005337
5.398134,0.004638
5.417878,0.005552
5.437765,0.005701
5.457797,0.005503
5.477981,0.005907
5.498312,0.005713
5.518794,0.004687
5.539433,0.005038
5.557244,0.006039
5.578169,0.006250
5.599255,0.005280
5.617454,0.005225
5.638835,0.005368
5.657293,0.005488
5.678979,0.005153
5.697701,0.004598
